"topic","weight","doc"
29,0.7456,6108
29,0.7389,6233
29,0.7372,5948
29,0.7372,8862
29,0.7348,28647
29,0.7323,4406
29,0.7315,2224
29,0.7285,4471
29,0.724,4207
29,0.721,33266
29,0.7202,4200
29,0.719,23903
29,0.7177,5809
29,0.7072,8133
29,0.7068,6890
29,0.7042,30025
29,0.7029,36171
29,0.7029,40090
29,0.702,5107
29,0.6987,7364
29,0.6979,4391
29,0.6954,37228
29,0.6949,6387
29,0.6939,4993
29,0.6927,3128
29,0.6927,31408
29,0.6926,19685
29,0.6924,4788
29,0.6905,302
29,0.6894,11024
29,0.6894,17467
29,0.6894,25435
29,0.6894,37907
29,0.6867,6884
29,0.6867,30548
29,0.6828,8301
29,0.6783,863
29,0.6779,26689
29,0.6746,7818
29,0.6746,17302
29,0.6736,3496
29,0.6704,24950
29,0.6701,33421
30,0.7398,24013
30,0.7342,16607
30,0.7185,25701
30,0.7178,11650
30,0.7178,30044
30,0.7157,30994
30,0.7153,11905
30,0.7151,22053
30,0.7147,25006
30,0.7099,19405
30,0.7046,30950
30,0.7024,14903
30,0.6991,18993
30,0.6987,35396
30,0.6894,31069
30,0.687,29278
30,0.6861,33353
30,0.6824,12228
30,0.6792,13527
30,0.6714,16362
30,0.6594,32773
30,0.6583,28168
30,0.655,29034
30,0.6525,26256
30,0.6481,29228
30,0.6469,18248
30,0.6453,13077
30,0.6406,26814
30,0.6404,17308
30,0.6389,9333
30,0.6362,12038
30,0.636,16420
30,0.636,33577
30,0.6347,9996
30,0.6285,22193
30,0.6261,29700
30,0.6225,23666
30,0.6201,30992
30,0.6156,24097
30,0.6131,10903
30,0.6131,9843
30,0.6126,17839
30,0.6111,26302
30,0.6083,26541
30,0.6069,38406
30,0.6048,31592
30,0.6048,34129
30,0.603,27978
30,0.6024,33398
30,0.6019,13783
