
Topic: 0
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"income [0.0107871211907041]","democrats [0.0124739289417049]","security [0.012790766355556]","interior [0.00964696274533962]","majority [0.0082732436196647]","proposal [0.0100005198533208]","voters [0.00873386261885627]","economic [0.0082408960415649]","agriculture [0.00964286622950282]","legislation [0.00893330472063638]","legal [0.00968870550567861]","measure [0.00770475909177194]",
"aid [0.0101029802946362]","economic [0.0122961996520302]","subsidies [0.0122850201463109]","republican [0.00946535693094488]","voted [0.00813201805716496]","benefits [0.00986180968442159]","schaefer [0.00870748531457541]","bills [0.00822921802491175]","votes [0.00948426073391999]","bills [0.00890059293552102]","committee [0.00917306183819807]","approved [0.00753768973945762]",
"proposals [0.0100333545415279]","programs [0.0122453554220691]","sdi [0.0122850201463109]","bills [0.00924408757519502]","legislation [0.00799332401951163]","housing [0.00960420123338258]","reduce [0.00855344774435409]","office [0.00809854065698652]","program [0.00902488727872745]","democratic [0.00879887930457889]","income [0.00914730856982835]","conservative [0.00741367139616982]",
"revenue [0.00980106563543439]","department [0.0121191565446932]","revenue [0.0122017727912672]","money [0.00909800168270009]","district [0.00794157025141201]","president [0.00947278188461929]","recession [0.00814282797212035]","costs [0.00803039679546282]","crime [0.00891192791819667]","commerce [0.00864154943825646]","funds [0.00904515059464123]","money [0.00720975260597947]",
"officials [0.00973553483700609]","tobacco [0.0118113847278628]","barry [0.012180128055958]","timber [0.0088773290318041]","programs [0.0078160995742749]","census [0.00941692434328257]","care [0.00809010112641331]","reduction [0.00791183354017809]","benefits [0.00890266940639223]","majority [0.00859886805425631]","governor [0.00877406687097564]","block [0.00718866572903674]",
"votes [0.0096938390679615]","education [0.0116265375624082]","congressional [0.0118767735065319]","00 [0.00868795260113549]","aid [0.00776490866253695]","contracts [0.00941692434328257]","majority [0.00776539879941293]","funding [0.00790394639469272]","raises [0.0087098016188701]","voted [0.00857503499748802]","environmental [0.0087598713662933]","deficit [0.00709208514381655]",
"savings [0.0096938390679615]","lawmakers [0.0114559617496562]","bureau [0.0117898874994251]","law [0.00868182053555321]","oil [0.00774956240516102]","reductions [0.00941692434328257]","benefits [0.00773985325634241]","voting [0.00767882376969102]","voted [0.00867107519267161]","lawmakers [0.00852589129442734]","deficit [0.00873280440828732]","election [0.00698848735439181]",
"voted [0.00961173431885087]","benefits [0.0114145750513238]","pay [0.0116362384434235]","agencies [0.00853858689693966]","economic [0.00767081446170614]","michigan [0.00893827996348128]","support [0.0077195770025884]","republicans [0.00767832296147552]","pay [0.00842940524605156]","reduce [0.00852381668553743]","agreement [0.00858275024745404]","transportation [0.0069070024132191]",
"democrat [0.0095568158132006]","oil [0.0112381044139018]","law [0.0115482414668109]","plan [0.00846803652990827]","iraq [0.0076066461804799]","highway [0.00864943400960143]","housing [0.00734824040172203]","care [0.00763558745808623]","amendment [0.00842036999744415]","medicaid [0.00832693471633552]","legislative [0.00857196022536397]","lott [0.00689213154246667]",
"measure [0.00954070887580828]","plan [0.0110236149167849]","higher [0.011223012678155]","health [0.00831646829648855]","employees [0.00760099857277406]","governments [0.00862882082059824]","welfare [0.0073385109134302]","subsidies [0.00744660801217618]","cuomo [0.00833278593467166]","kasich [0.00801142072970206]","security [0.00856019915201051]","services [0.00680521238403091]",
"plan [0.00942202882175329]","welfare [0.0106018889288538]","foreign [0.0108141636047695]","projects [0.00802985021634699]","votes [0.00751827722375109]","legislative [0.00854918674453004]","proposal [0.00729275743623613]","lawmakers [0.0074375145709172]","services [0.00785760699811176]","housing [0.00793472516068575]","promises [0.00853657798187258]","gorton [0.006729966422571]",
"provide [0.00940548837317881]","gov [0.0103875009199076]","investigation [0.0106153116915192]","officials [0.00793507906983554]","agencies [0.00730091265722804]","property [0.00848126036810825]","policy [0.00728357478804582]","service [0.0074326957321147]","service [0.0078172052936839]","domenici [0.00790652221736869]","election [0.00841570421766168]","defense [0.00667857464762247]",
"rates [0.00935195342249284]","congressional [0.010290094668533]","amendment [0.0105812943868927]","drugs [0.00790677318545532]","rate [0.00723087497448239]","democratic [0.00831899274180518]","workers [0.00709874348851753]","amendment [0.00738300852794023]","care [0.00775612782278262]","environmental [0.00762703871445517]","197 [0.00834026267373628]","reduce [0.00657648905699792]",
"defense [0.00904726261125515]","legislature [0.0101709278192666]","bipartisan [0.0105668296642386]","pay [0.00784574301461557]","services [0.00718285283434305]","vermont [0.00819624048513145]","chairman [0.0069585689814161]","rate [0.00720717215985651]","195 [0.00765729314870711]","income [0.00740689191568148]","savings [0.00832543426995446]","state [0.00650382622363187]",
"bureau [0.00896335949179505]","dakota [0.0100445583818325]","proposed [0.0104742564672986]","income [0.00772440081233469]","package [0.00711174346713391]","billboards [0.00819624048513145]","trade [0.00695342399961334]","agriculture [0.00713333054917895]","agency [0.00765386889027158]","subsidies [0.00740550595070871]","benefits [0.0082587428585925]","finance [0.00643075820405541]",
"reform [0.00888243841315174]","workers [0.00998879703493874]","delegates [0.0100652489825667]","members [0.00750997731624013]","money [0.00710274034243151]","foreign [0.00813075785381862]","aides [0.00695003167698069]","approved [0.00708751855286045]","majority [0.00748803230784042]","program [0.00733542490506588]","service [0.00805173767527746]","department [0.00638520099047451]",
"pay [0.00866161023696013]","cutting [0.0099509918302543]","missile [0.00998641696650574]","democrat [0.0074892268862096]","law [0.00705224760577222]","officials [0.00807436718117828]","insurance [0.00693290294869163]","agreement [0.00704778708996733]","speaker [0.00746065107482407]","measure [0.00726558483316076]","measure [0.00793040660472423]","interior [0.00637685892384145]",
"texas [0.00851566593285562]","chafee [0.00994893667877018]","loans [0.00998641696650574]","illegal [0.0074305093789027]","gov [0.00696727586860629]","crime [0.0080473762308937]","proposals [0.00680242040574363]","saving [0.00693904694399787]","pending [0.00742902361198125]","military [0.00698196283759764]","domestic [0.00787548259641871]","raise [0.00629909728199222]",
"legislative [0.0083262609563167]","finance [0.00982982284285188]","savings [0.00998641696650574]","leaders [0.00718689926550542]","rourke [0.00682550063153021]","bills [0.00801806453625344]","williams [0.00674907784998943]","state [0.00693529226214226]","housing [0.00733088583830755]","increase [0.00694916859029988]","bonds [0.00782404209322679]","campaign [0.00628096524989193]",
"amendment [0.00768677054496001]","businesses [0.00980522829532072]","military [0.00978709991510183]","nuclear [0.00708247741431439]","military [0.00675604760361383]","reducing [0.0080028954963162]","higher [0.0067354519506009]","department [0.00690118298304902]","measure [0.00725685708927397]","reduction [0.00692811306182744]","education [0.00776006012114603]","dunn [0.00624590669644827]",
"delay [0.00765124854915599]","democratic [0.00971446730466964]","moscow [0.009445377958485]","benefits [0.00708028730412069]","laughlin [0.00674018794387969]","compromise [0.00774328592914307]","legislative [0.00663432015632363]","employees [0.00681438659020361]","save [0.00716532003368468]","education [0.00687655983893733]","engler [0.00763930323871511]","balanced [0.00621644381192192]",
"education [0.00744306859340593]","funds [0.00955364687398036]","legislative [0.00916235207681301]","chairman [0.00706685515300878]","measure [0.00655424504525626]","limit [0.00773886853554744]","district [0.00662199688195115]","development [0.00673240885228462]","lawmakers [0.00707069394181633]","202 [0.00686547311381117]","wolf [0.00749872817609859]","education [0.00621132555815052]",
"deductions [0.00740477405027644]","jobs [0.00949335074052847]","benefits [0.00912006812473855]","190 [0.00695043542194484]","officials [0.0065460657585138]","democrat [0.00769497754598603]","sen [0.00650369017192545]","pay [0.00671870257733695]","increases [0.00698656370252088]","service [0.00666696272267188]","immigration [0.00735111167082828]","trade [0.00610522079870579]",
"levies [0.00740477405027644]","land [0.00935592966543938]","transportation [0.00906659856276738]","treasury [0.00679287374494981]","raise [0.00643332692043158]","lawmakers [0.00764050369764624]","leaders [0.0061192343501352]","committees [0.00668319129407649]","balanced [0.00680914366818998]","sen [0.00656550409998755]","revenue [0.00699332940366764]","passed [0.00609731331819524]",
"district [0.00736631183608904]","mortgage [0.00927845710039183]","democrat [0.00901902587318574]","environmental [0.00673818736487389]","incumbents [0.00619823861477152]","reform [0.00758447850412431]","r [0.0061096118902823]","foreign [0.0064788510363084]","money [0.00677960072986947]","196 [0.00644106617985108]","aid [0.00697983183939772]","oil [0.00600327267565837]",
"balancing [0.00717503460781957]","office [0.00922416605460151]","voting [0.00887688753163243]","security [0.00666323874534295]","leadership [0.00600302785355141]","appropriations [0.00747285699695224]","military [0.00610140192430811]","package [0.00645283242136173]","jobs [0.00666300903566398]","reductions [0.00643793542743449]","proposal [0.00689582115284187]","officials [0.00588266408176718]",
"reducing [0.00705740342055138]","reduction [0.00921860079173733]","ghcvb [0.00887688753163243]","immigration [0.00665138218012195]","veto [0.00598359709880956]","agency [0.0073545492921632]","growth [0.00608408583255058]","measure [0.00637268267498548]","leadership [0.00648709175179796]","office [0.00636391523878062]","housing [0.00664541194042867]","sen [0.00586607383240498]",
"approved [0.00702012816095756]","governments [0.00909830490756254]","reduce [0.00887688753163243]","ban [0.00654629426453231]","police [0.00598173205069789]","environmental [0.00732594687362838]","security [0.00603327197898197]","economy [0.0062642073538376]","average [0.00648466383857532]","poor [0.00618873576245169]","weapons [0.00662809225337637]","kill [0.00580370372942033]",
"passed [0.00691843509482401]","leader [0.00901853127833739]","governments [0.00865249491729644]","lobbyists [0.00643943914488118]","environmental [0.00593133575182716]","jobs [0.00729350647724662]","governor [0.00602146732520143]","reform [0.00625656244714564]","taxpayers [0.00641013577298322]","approved [0.00603466125585351]","support [0.00662702479420636]","census [0.00576569579981094]",
"bills [0.00688280923529688]","sales [0.00901455130112825]","reagan [0.00844567281897747]","program [0.00625714676481229]","soviet [0.00571096164278834]","bush [0.00718536246580266]","reform [0.00597849479692811]","sen [0.00617276983910001]","00 [0.00637626171993688]","conservative [0.00589171723562035]","amendment [0.00658098472154679]","agencies [0.00573662090695656]",
"issues [0.00677367673855052]","requested [0.00898285986096184]","rates [0.00831325606088586]","passed [0.00624575039578582]","parris [0.0056985483720412]","rates [0.00697214818529549]","lowey [0.00591602721143974]","domestic [0.00613616293536595]","democratic [0.0063333461047709]","committees [0.00584912990132616]","reduction [0.00653443035133666]","health [0.00563847504937809]",
"revenues [0.00672474395439205]","amendments [0.00870956852114935]","eliminate [0.00830507073307695]","state [0.00622902844801746]","gramm [0.0056985483720412]","program [0.00689686908200895]","development [0.00591192855813831]","votes [0.00589969273430007]","district [0.00631106919276409]","money [0.00579038274825805]","ban [0.00641573940315725]","medicare [0.00560652835359181]",
"republicans [0.0067080444474868]","republicans [0.00870956852114935]","reform [0.00830507073307695]","transportation [0.00622094341317853]","ethics [0.00567044969871089]","republicans [0.00687460681615018]","pay [0.00590977375167463]","rhob [0.0058658776519396]","raise [0.00617411505728244]","freshmen [0.0056372831002573]","medicaid [0.00641415944795603]","reform [0.00554211366558313]",
"unfilled [0.0067080444474868]","speaker [0.00849593727990048]","passed [0.00829661027749986]","speaker [0.0062122333669015]","legislative [0.00564610442448519]","democrats [0.00685528449766317]","education [0.0058453234033917]","higher [0.00580842330564437]","election [0.00600851738493026]","votes [0.00562670019547032]","weinberg [0.00641415944795603]","agenda [0.00540893546285188]",
"chairman [0.00670129247652951]","insurance [0.00847075128636108]","policy [0.00818128749883327]","proposal [0.00607263851270481]","loan [0.00564608746152344]","welfare [0.00682613310958667]","officials [0.00581114539214287]","education [0.00557804516244278]","limit [0.00589631318982439]","development [0.00561935164554597]","campaign [0.00639018500999871]","ethics [0.00539386583993188]",
"taxpayers [0.00653198432612605]","business [0.00839376279490739]","provision [0.00813196674951606]","catastrophic [0.00599001913157381]","seat [0.00562845981558396]","law [0.00680514054611687]","foreign [0.00577451897110331]","support [0.00552902814544634]","report [0.00588759168004804]","gorton [0.0055360886478689]","voters [0.00635589122105453]","chairman [0.00533876595022209]",
"foreign [0.00619947079488694]","approval [0.0083238962801633]","control [0.00799974288734072]","provisions [0.00581659469552121]","leaders [0.00548326772745625]","leaders [0.00671718488462181]","funding [0.00577004094174838]","medicare [0.00551707666309984]","a1 [0.0058671546494905]","delay [0.00551777494135234]","term [0.00632656010724549]","package [0.00529083923603541]",
"department [0.00613489106867305]","resolution [0.00830901361145114]","subcommittee [0.00794630187306734]","compromise [0.00572255322292216]","housing [0.00547867072319563]","campaign [0.00671620298763229]","mining [0.00573074540808377]","officials [0.00549228934120064]","dicks [0.00584474091119833]","caucus [0.0054713378098726]","voted [0.0063243777343793]","paxon [0.00513189537773427]",
"support [0.00587712000298786]","law [0.00828038823111714]","x [0.00788165777032733]","medicare [0.00571894301288604]","legislature [0.00546761408057304]","population [0.00669840915913847]","gov [0.00572993390010907]","cutting [0.00548910352769741]","appropriations [0.0058360182666172]","energy [0.005441663183696]","trade [0.00627746092312421]","pay [0.00504704343331251]",
"liability [0.00587644918006531]","provide [0.00823572196886162]","agency [0.00781385639589169]","reduce [0.00562458215253838]","appropriations [0.00532312788165345]","economic [0.00668220884297992]","00 [0.0057180930556689]","voted [0.00543184036090273]","law [0.00581162584461559]","livingston [0.00527615332154768]","department [0.006195035603242]","funds [0.00502206437120011]",
"crisis [0.00586293988430284]","authority [0.00818999887003288]","increases [0.00773298738293523]","care [0.0056120755351684]","candidates [0.00528993030644567]","economy [0.00662691225789432]","broadcasting [0.00570372101001233]","law [0.00542035876919554]","eliminating [0.00579148653792488]","interior [0.00525668512420102]","opposes [0.0061906054502389]","democrat [0.00500149425122894]",
"requested [0.00573516308250698]","retirement [0.00816037532746085]","committees [0.00773298738293523]","increases [0.00555422571765392]","finance [0.00527261068886078]","reduction [0.00659823574238584]","reduction [0.00569860329657439]","trade [0.0053776114100224]","contract [0.00568689088067323]","armey [0.00510965153994895]","immigrants [0.00617686992990587]","priorities [0.00498706147454262]",
"cutting [0.0057261007696897]","contract [0.00811289385490637]","save [0.00765922065850764]","savings [0.0054003189262048]","support [0.00525179749812385]","governors [0.00653402043712089]","dioguardi [0.00561301956563491]","revenue [0.0053064097547148]","trade [0.00554609818889676]","security [0.00504862997365811]","approved [0.00617581648945282]","ga [0.00490045450031701]",
"deduction [0.00566713100477588]","eliminate [0.00804128364303762]","priority [0.00759123991426962]","ethics [0.00539796463685767]","policy [0.00520570885560451]","workers [0.00636202412815842]","sales [0.00557839668716343]","provide [0.00528032446534729]","proposal [0.00550552522202878]","labor [0.00496125110515712]","targeted [0.00613858325975165]","legislative [0.00479555254796786]",
"policy [0.00565264102252313]","chairman [0.00801936410488232]","economy [0.00758371519644465]","legislative [0.00537516211165065]","florio [0.00514307460459157]","amendment [0.00626591667926953]","eliminate [0.00551603334786094]","proposal [0.00522094124179559]","economic [0.00549344943147693]","funds [0.00491213690881417]","payments [0.0061115061136664]","aid [0.00474233777752292]",
"lower [0.00561123486047868]","legislation [0.00793262416465182]","democratic [0.00754064357700657]","debate [0.00532384874930616]","department [0.00514209477782868]","approved [0.00621180959717172]","bills [0.00544346721053747]","civilian [0.00520470370619889]","legislative [0.00544653674093376]","proposal [0.00490228408498189]","speaker [0.00604875042569706]","members [0.00471851615281068]",

Topic: 3
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"art [0.169378799141551]","art [0.191755867444319]","art [0.197680974195745]","art [0.210536251340502]","art [0.211925207761394]","art [0.199741418320842]","art [0.240082542502347]","art [0.280909742395609]","art [0.208776278542173]","art [0.241833101062243]","art [0.21656821179118]","art [0.259294925820374]",
"museum [0.0950722016018186]","museum [0.106792813844253]","museum [0.0942451832580066]","museum [0.104858110427189]","artists [0.0933933410804193]","museum [0.0945664662006681]","museum [0.109244518743968]","museum [0.10424102612536]","museum [0.133410118917214]","museum [0.113871403698441]","museum [0.112205384678484]","museum [0.101437524455248]",
"artists [0.0841829075153585]","artists [0.0719139970965214]","artists [0.0848743367569824]","artists [0.089048385340921]","museum [0.0895859709496362]","gallery [0.0863005113527838]","gallery [0.105879517547132]","gallery [0.0732606191739287]","artists [0.071110800210837]","gallery [0.0808760909002449]","gallery [0.0958732386396169]","artists [0.0822174187524345]",
"sculpture [0.0627856843264254]","gallery [0.0553779229192349]","artist [0.0435426079314385]","gallery [0.0785923311783635]","gallery [0.0829711446869986]","artists [0.0686295811805268]","artists [0.0907552868250424]","artists [0.0686231355291841]","gallery [0.0572137238286141]","artists [0.0795652943563218]","artists [0.0750616599856517]","gallery [0.0614996702522843]",
"work [0.0403551832415147]","sculpture [0.0431205568288568]","sculpture [0.0427731729167037]","sculpture [0.0502821298470852]","sculpture [0.0383816127950914]","sculpture [0.0529629233137805]","artist [0.0659094090772393]","artist [0.0442965820317088]","artist [0.03777577180809]","sculpture [0.0468569791620186]","sculpture [0.0499814771906613]","artist [0.0569900438197724]",
"artist [0.0399691237126376]","work [0.031557231261356]","gallery [0.0391920869870825]","artist [0.0428408393489412]","artist [0.0378606032715612]","exhibit [0.0457969315821816]","sculpture [0.0427280185526177]","sculpture [0.0355933093205863]","sculpture [0.0342071249995415]","artist [0.0428051962788341]","artist [0.0430922543194818]","sculpture [0.050874463120409]",
"gallery [0.0367045229055014]","artist [0.0280085093890258]","work [0.0377055739146436]","exhibition [0.0385157721716222]","exhibit [0.0276402220215878]","artist [0.0363394599269122]","work [0.0330288054851986]","works [0.0292091779257661]","works [0.0248374458995742]","exhibit [0.0360742419266371]","exhibit [0.0313268244563156]","work [0.0265120814958309]",
"exhibition [0.0283679790418816]","exhibition [0.0260234430078531]","show [0.0202988722429012]","show [0.0310899497304063]","work [0.0240681047883125]","work [0.0239486243346447]","exhibit [0.0302430426522125]","judd [0.020378192570497]","exhibition [0.0239062451420558]","exhibition [0.0338080560136616]","exhibition [0.0250886624178779]","exhibition [0.0244252129632859]",
"works [0.0247807127036853]","show [0.0219028727712493]","works [0.0201960411116214]","work [0.0211002852009523]","exhibition [0.0216841866084427]","works [0.0191162610386578]","show [0.0242686989335185]","work [0.0189340127204152]","collection [0.0238482100344459]","collection [0.0312245101116045]","work [0.0243350302369904]","exhibit [0.0228818663261779]",
"show [0.0239550435490397]","works [0.0178740951117305]","exhibition [0.0183567840040841]","curator [0.0210562446572205]","show [0.0196653226839764]","galleries [0.0187211936095694]","works [0.0237630093575452]","posters [0.0188685001728671]","design [0.0202460561893146]","works [0.0284950759515345]","paintings [0.0220313719215133]","pratt [0.0206675083855007]",
"building [0.0162327973071966]","design [0.0173476658837103]","exhibit [0.0176309037385157]","exhibit [0.0201153746395179]","project [0.0181860856567032]","painting [0.0186447462223805]","painting [0.023106050268351]","galleries [0.0183351774043015]","work [0.0202377083942083]","sculptures [0.0222916851676328]","glass [0.0201008061741446]","works [0.0191681782949239]",
"sculptures [0.014577763038163]","collection [0.0146014208502722]","wpa [0.0172111560750459]","works [0.0193267640099895]","works [0.0163511755615831]","show [0.0179280319520317]","exhibition [0.0215891733555671]","display [0.0169778287833783]","exhibit [0.0186139502929915]","wpa [0.0207018476056749]","works [0.0190611772176912]","curator [0.0189188881611897]",
"crafts [0.0142035209031975]","space [0.0135130760785869]","design [0.0162314220249329]","contemporary [0.0186469256230542]","pieces [0.0153679327515402]","display [0.0165112609431227]","collection [0.0206219291532371]","exhibition [0.0165449836607149]","paintings [0.0156350493926801]","curator [0.0190805466624574]","galleries [0.0188991854130787]","glass [0.0158279348449492]",
"visual [0.0139107398731645]","public [0.0134440843340096]","painting [0.0131130039201322]","wpa [0.0174650161087905]","galleries [0.0145598632180452]","piece [0.0162462802833797]","visual [0.020452807939929]","paintings [0.0148138276094782]","curator [0.0150136556417481]","work [0.0174161727095546]","show [0.0184489801243404]","painting [0.0156102994956491]",
"glass [0.0128198112303687]","building [0.0131463388377082]","wright [0.0128473076343689]","collection [0.0164650172604054]","collection [0.0142650076687801]","arts [0.0150643856416662]","paintings [0.0165114258381306]","collection [0.0145831635959977]","display [0.0146851043252816]","opens [0.0164657955184001]","collection [0.0175884021502347]","sculptures [0.0152439578794521]",
"design [0.0116752711284855]","crafts [0.0127857786468438]","arts [0.0128033345101957]","sculptures [0.0155123436009976]","design [0.0141066226758891]","public [0.0141413076558698]","auction [0.0150229695430062]","show [0.0144249916220038]","project [0.0138771578546253]","show [0.0163109769603205]","sam [0.0166747102574978]","show [0.0151303789353874]",
"exhibit [0.0114850382013436]","display [0.0126435682654922]","puryear [0.0126276014929992]","glass [0.0153288123843925]","painting [0.0135941352953359]","exhibition [0.014109213261871]","curator [0.0146833085035589]","public [0.0133222890307181]","museums [0.0134953448526367]","museums [0.0153916046856562]","painting [0.0147920927301757]","foot [0.0141976173891364]",
"paintings [0.0112133509933168]","sculptures [0.0118503502049801]","public [0.0119750546899249]","galleries [0.0146511895824569]","contemporary [0.0130058913863689]","collection [0.0139442258141631]","smithsonian [0.0141465404688741]","visual [0.0133105507304193]","show [0.0132432113044082]","corcoran [0.0138016546006145]","public [0.0147919815252907]","corcoran [0.0138694881126109]",
"craft [0.011090283762784]","exhibit [0.0117329789829583]","glass [0.0109343017608749]","exhibitions [0.0145901728980288]","curator [0.0117551944166862]","paintings [0.0137832147973647]","quilt [0.0137456320135531]","building [0.0129878310935748]","sculptures [0.0131461758725874]","paintings [0.013212762811206]","wright [0.0141354708620686]","contemporary [0.0136427249765447]",
"contemporary [0.0110469961374285]","contemporary [0.0116809934165716]","project [0.0107506668268213]","design [0.0134372742925493]","sculptor [0.0111464408330249]","pieces [0.0125693775663029]","piece [0.0130480592575011]","poster [0.0126140146963274]","space [0.0125406753395278]","metal [0.0131032928950133]","corcoran [0.0133402707516186]","display [0.0129197308247076]",
"painting [0.0105015204233784]","pieces [0.0116296050881714]","visual [0.0104839474322823]","public [0.0127323607987257]","public [0.0110295427537473]","project [0.0123937083381064]","sculptor [0.0129391780035933]","exhibit [0.0121856118103719]","sculptor [0.0122736685969083]","contemporary [0.0129138930306635]","sculptures [0.0132442160130772]","public [0.0125674719610565]",
"street [0.0103736931185093]","paintings [0.0115966461341002]","collection [0.0102208329391515]","painting [0.0121907862765042]","visual [0.0109597283973331]","airport [0.0122026625744574]","display [0.0126898958430024]","painting [0.0121733308527149]","galleries [0.011041015974883]","glass [0.0110015688753233]","garden [0.0131942796384594]","building [0.0115672577066439]",
"public [0.0103355334566017]","ms [0.0115642174792887]","exhibitions [0.0101986853823372]","piece [0.011643231407033]","northwest [0.010850717085937]","artwork [0.0119491570786369]","galleries [0.0124872319239941]","project [0.0119387613337619]","public [0.0104842360790583]","maki [0.0109774769370102]","curator [0.0130042469818341]","design [0.0114481733442681]",
"space [0.0100136239780279]","painting [0.0110917167796934]","piece [0.00983124273279827]","paintings [0.0115200328113471]","furniture [0.010847476895289]","broun [0.0112813839092144]","space [0.0120068506663711]","museums [0.011449418985818]","architecture [0.00953267355573063]","exhibitions [0.0108148182795695]","pieces [0.0125435918522858]","galleries [0.0113449763772213]",
"sculptor [0.00962097400983168]","curator [0.0107977501273008]","quilt [0.00981116630857338]","materials [0.0109142884559133]","glass [0.0104549683430035]","contemporary [0.010631724304606]","glass [0.0111518436113421]","glass [0.0112062823810128]","arts [0.00918870509610104]","galleries [0.0101507556200231]","foot [0.0125140150958496]","sculptor [0.0112594963082016]",
"galleries [0.0095645436768695]","craft [0.0107815144697371]","space [0.00971928810351549]","sculptor [0.0106760410350148]","display [0.0101598609105892]","curator [0.0105389785961972]","wpa [0.0109783510873614]","sculptures [0.0107446493644088]","exhibitions [0.00862909821808469]","sculptor [0.0100747182281845]","wpa [0.0122696401173889]","pieces [0.0109460330349396]",
"serra [0.00942293802361902]","visual [0.0104139569154011]","sculptor [0.0095781280378024]","pieces [0.00996333208358795]","paintings [0.0100737347626104]","crafts [0.010441020904005]","museums [0.0105997978604983]","space [0.01029554269022]","pieces [0.00855280136775678]","painter [0.00970090665899387]","visual [0.0118765079883571]","installation [0.0105412827005529]",
"exhibitions [0.00909411040331574]","sculptor [0.0103901817148781]","designed [0.00952255396944245]","space [0.0099302264343893]","piece [0.0098875820580782]","chin [0.0102774757421984]","studio [0.01048854035575]","installation [0.0101038811342786]","horses [0.00852883172840255]","painting [0.00952763346851234]","steel [0.0107474138706876]","collection [0.0101186466374956]",
"collection [0.0088983319527088]","glass [0.0101770829717055]","building [0.00940514583152164]","visual [0.00957249833963335]","garden [0.00984137095827275]","installation [0.0101315253863117]","building [0.0102712178239222]","piece [0.00983025114600391]","center [0.00849126608877603]","garden [0.00944126117814388]","display [0.0104696958550186]","steel [0.010016407490488]",
"pieces [0.008785712986351]","garden [0.0100467611993217]","commission [0.00936161241772078]","museums [0.00906268166520162]","space [0.00983713987581017]","northwest [0.0100303080985071]","bolton [0.0102349178524761]","design [0.00931985251587253]","contemporary [0.00842735614411746]","display [0.00917216492927593]","sculptor [0.0102820507722087]","piece [0.00982367110814644]",
"neon [0.00843941263052501]","project [0.00986208001777541]","architect [0.0092533232078126]","steel [0.00903708126244685]","srl [0.00961884784000123]","rauschenberg [0.00989332623455956]","drawings [0.0101383196055964]","artwork [0.00879525050622395]","asian [0.00816535823377844]","building [0.00905225207450216]","installation [0.00999781443876112]","space [0.00980907672961278]",
"curator [0.00801376696166812]","museums [0.00924951763676132]","curators [0.00898221715948715]","mckissack [0.0083097098805364]","sculptures [0.00956396075751479]","visual [0.00983431382626404]","corcoran [0.0100861725312059]","studio [0.00840471451582609]","collections [0.00798999569427009]","space [0.00879049639730591]","piece [0.00995649333947477]","paintings [0.00945628304799151]",
"city [0.0078874576742461]","terra [0.00911032207087147]","curator [0.00880200870830244]","wood [0.00801270593457803]","shahn [0.00908172455620737]","space [0.00929566142956247]","artwork [0.00966742672909007]","paper [0.00826460995158401]","painting [0.0079244388517255]","project [0.00853839670571603]","contemporary [0.00987348147154613]","arts [0.00940573691664164]",
"center [0.00763009035854173]","galleries [0.00902607464300183]","galleries [0.00869704534670735]","painter [0.00777808005349882]","landscape [0.00867381865297885]","museums [0.00904744422094571]","sculptures [0.00963108033806483]","wall [0.00816625539070057]","painted [0.00788415429220998]","pieces [0.00849889622999353]","armajani [0.00887023348327566]","artwork [0.00935040001769266]",
"arts [0.00738763562136493]","lawrence [0.00884603641369776]","northwest [0.00849604080549405]","building [0.00756447561040295]","artwork [0.00818168872711452]","sculptures [0.00853048899603903]","artworks [0.0096086259870214]","chihuly [0.0079680021116713]","steel [0.00762030971362303]","drawings [0.00847091369757135]","artworks [0.0083846500864082]","visual [0.0088184906332351]",
"piece [0.00733815881881205]","arts [0.00828128452776921]","holzer [0.0084514847562834]","display [0.00737419559427353]","foot [0.00789413800558886]","photography [0.00847681579690404]","photography [0.00958900148063801]","walls [0.00760084023106643]","objects [0.00743603767038035]","barbie [0.00826012774845185]","project [0.00820536411070956]","center [0.00854994784337337]",
"site [0.00730673427539194]","steel [0.00819561407627737]","pieces [0.0083499557488351]","project [0.00712241069291151]","exhibitions [0.00783645290411415]","sculptor [0.00822891711669014]","garden [0.00932318459644855]","exhibitions [0.00750196884107505]","ross [0.00740213538422162]","public [0.00825264123204906]","space [0.00796027945828071]","studio [0.00821827687306502]",
"wpa [0.00727504931257895]","exhibitions [0.00811525537707397]","street [0.00766864732742622]","foot [0.0069550855070556]","drawings [0.00773945594396542]","wall [0.00788994618537888]","contemporary [0.0087895763889884]","warhol [0.00703768914139142]","artworks [0.00706133013761096]","steel [0.00821132181458987]","design [0.00782832266177981]","nw [0.00770569598341618]",
"window [0.00706994234574573]","drawings [0.0081039148832937]","materials [0.00764645238623997]","arts [0.00689738510797496]","installation [0.00766714569800973]","commission [0.00770492881372937]","design [0.00845533945667377]","auction [0.006979814043814]","electronic [0.00688735142723935]","prints [0.00780134694258455]","museums [0.00776152326905752]","henry [0.00759874371966365]",
"architecture [0.00691033266949016]","piece [0.00807269203560716]","display [0.00752144869841733]","arc [0.00668761501848628]","building [0.00755942733430544]","center [0.00735916929270983]","reynolds [0.00811135763541335]","foot [0.0069225015987543]","view [0.00687826462056103]","smithsonian [0.00775902938732825]","building [0.00764422324528994]","painter [0.00754231136725308]",
