
Topic: 0
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"financial [0.0172565506755329]","city [0.0193717086397775]","hodsoll [0.0215296979701588]","percent [0.0200172109663236]","programs [0.017634500270245]","education [0.0192938077919524]","program [0.0159790487731596]","board [0.0196695668217143]","funding [0.0182819879082241]","grant [0.0197763390490176]","programs [0.018651228249694]","foundations [0.019170095911744]",
"director [0.0163953508155715]","grant [0.0185928681025132]","director [0.0214864691757928]","funds [0.0191446702794439]","president [0.0155503290602178]","endowment [0.0191837954553941]","cheney [0.0158717230936251]","funds [0.0195113999128153]","museum [0.0173505888066221]","institutions [0.0194330402343775]","agency [0.0185443766884932]","nonprofit [0.0184615577385476]",
"funding [0.0156735559942674]","funds [0.0184863098636729]","funds [0.0213387495123545]","symphony [0.0188324027556388]","motel [0.014809770330558]","grant [0.0191365149609628]","financial [0.0156576440974422]","percent [0.0190580638876511]","grant [0.0171062918605658]","neh [0.0190112352328136]","smithsonian [0.0184733210066858]","private [0.0182630375082697]",
"chairman [0.0156690551960396]","education [0.0180108681439745]","committee [0.0200474955469059]","fund [0.0180143268872465]","program [0.0147581786826151]","committee [0.0176923372681724]","funds [0.0156375174665335]","education [0.0187673867135567]","humanities [0.0169940208225549]","program [0.0178224676650165]","theater [0.0183439626974312]","president [0.018124311559909]",
"hodsoll [0.0154576671134418]","director [0.0173795327392041]","foundation [0.0200471678504984]","chairman [0.0172657678460221]","city [0.0147227562235394]","funds [0.0175585164831248]","museum [0.014780513206024]","endowment [0.0183986785410279]","director [0.0164006114849397]","funding [0.0170456601772386]","moody [0.0182786921701701]","programs [0.0171671697443031]",
"panel [0.0153831022196865]","endowment [0.0162959445682986]","funding [0.0180496165253137]","trustees [0.016835864507768]","funds [0.0146641536650613]","programs [0.0170279927365985]","funding [0.0146201541281486]","fund [0.0182796469709614]","funds [0.0161243874312556]","ms [0.016592470855057]","grant [0.0165262572836387]","symphony [0.0165033473303166]",
"committee [0.0149868707726784]","orchestra [0.0158533396164343]","city [0.0169113375998012]","grant [0.0167494223971507]","museums [0.0143805680250303]","funding [0.0161777928305619]","executive [0.0145444226539213]","symphony [0.0180614929697193]","ms [0.0158082373530872]","foundation [0.0158914296853906]","hotel [0.0140305191584071]","funding [0.0162224308289034]",
"president [0.0145528058462121]","graham [0.0154734248572877]","chairman [0.0168373148271585]","funding [0.0167165102554959]","symphony [0.014308117934175]","institutions [0.0152500699377683]","institutions [0.0141276676338602]","program [0.0178762380131815]","financial [0.0142793762020538]","executive [0.014405337328643]","foundation [0.0137757874384087]","corporations [0.0145243816496241]",
"foundation [0.0144433033674379]","funding [0.0154233387549972]","grant [0.0166660715805926]","president [0.0161811567456806]","foundation [0.0140726550052506]","executive [0.0148435608518152]","ms [0.0139865236179674]","national [0.017024359547078]","executive [0.0140178350800051]","foundations [0.0138130930511389]","funds [0.0137642180382861]","funds [0.013825394844921]",
"cach [0.0137262307629168]","financial [0.014940650129974]","financial [0.0160256364655933]","staff [0.0160210825391422]","wolfensohn [0.0139026355991379]","community [0.0146422368939747]","education [0.0135560417004326]","museums [0.0159511708300428]","symphony [0.0134074236043442]","museums [0.0132725776408834]","museums [0.0136755378636652]","executive [0.013419761790074]",
"major [0.0134953131495033]","committee [0.0143915149122846]","executive [0.0144022383493608]","state [0.0159835269208622]","chairman [0.0131330634221275]","smithsonian [0.0143067197662397]","organization [0.0119822512278597]","smithsonian [0.015915511096316]","foundation [0.0129329922008439]","opera [0.0128842838425225]","education [0.0134738317884788]","board [0.0134080693744953]",
"orchestra [0.0134249218010625]","president [0.0141403560008387]","organization [0.0142113200208602]","executive [0.0148709063690255]","corporate [0.0131305409879132]","fiscal [0.0139142390560543]","smithsonian [0.0116579997707804]","received [0.0142638708332956]","smithsonian [0.0124408983681942]","organization [0.0125630160999722]","executive [0.0134271052618865]","ms [0.0130099605464555]",
"corporate [0.0132679488216512]","national [0.0128532955495076]","institutions [0.0141255142333832]","cheney [0.0142738532849647]","humanities [0.0127061084205517]","state [0.0135767009482274]","staff [0.0106133486143448]","funding [0.0136300244389281]","national [0.0116352139990359]","president [0.0123906747887111]","president [0.0133769457196116]","donors [0.0125206495979556]",
"grant [0.0130658508400646]","organization [0.0127381732683002]","program [0.0134853670784535]","financial [0.0133173775331177]","funding [0.0123168460955862]","financial [0.0133152279645122]","museums [0.0105144130637865]","neh [0.0126931508765711]","community [0.0116333526917896]","city [0.0121811760882568]","financial [0.0126435385895295]","financial [0.0122924764242525]",
"force [0.0125468739748336]","raising [0.0126134112942879]","programs [0.0133713580682661]","kennedy [0.0132720517779013]","staff [0.0122830502016517]","program [0.0132732021120601]","chairman [0.00962781271227827]","executive [0.0113025846458035]","chairman [0.0116196291297614]","private [0.0119595579658483]","cachh [0.0120156784029303]","hackney [0.0116616447512538]",
"programs [0.0124428042757346]","executive [0.0124719692857017]","raising [0.0125754395130819]","institution [0.0129976166410557]","center [0.0121525504322709]","organization [0.0131445431593734]","hotel [0.00936995431536962]","agency [0.0110895589580194]","communities [0.011463439350009]","center [0.0116007736136378]","community [0.0119316652548556]","director [0.0115186778289637]",
"fiscal [0.0123648951519563]","corporate [0.0120547550569539]","major [0.0120707442815794]","increase [0.0117536458906109]","raising [0.0119376318984073]","agency [0.0118223870638547]","orchestras [0.00903388821169275]","financial [0.0108949028815018]","corporate [0.0111023660104402]","raising [0.011471074564152]","organization [0.0117246986551539]","grant [0.0114827581770188]",
"education [0.0122140221603475]","chairman [0.0113446995133658]","society [0.0117652629550647]","murray [0.0116606082503691]","community [0.011859936338847]","foundation [0.0116608526407603]","institution [0.00901083184648118]","institution [0.0108434467044895]","services [0.0104713008786235]","symphony [0.0112714590461361]","ms [0.0116135846041532]","chairman [0.0105507149930206]",
"institutions [0.0116233834342549]","major [0.0111352868980089]","private [0.011701328783475]","national [0.0102825093713769]","endowment [0.0115152694719103]","chairman [0.0108311834513963]","alliance [0.00900130855613368]","penn [0.0106414281456397]","fiscal [0.0104635729383291]","financial [0.0110998398976815]","humanities [0.0116121407195495]","donor [0.0101012798570023]",
"task [0.0116073773926281]","ms [0.0109961796982626]","announced [0.0115224358479048]","private [0.0102680678310866]","increase [0.0109332930978635]","mayor [0.0106469602726575]","city [0.00888871084360462]","state [0.0105361325468078]","museums [0.0102994876291576]","orchestra [0.0109717817936672]","increase [0.0106299487278849]","community [0.00992181877195914]",
